citedDOI,journal_is_oa,is_oa,oa_status
10.1175/JAS3776.1,FALSE,TRUE,green
10.1007/s10546-004-2820-6,FALSE,TRUE,green
10.1146/annurev-fluid-120710-101036,FALSE,FALSE,closed
10.5194/amt-7-1825-2014,TRUE,TRUE,gold
10.1029/2011JD016987,FALSE,TRUE,green
10.1111/j.1600-0870.2008.00328.x,FALSE,FALSE,closed
10.1002/qj.606,FALSE,FALSE,closed
10.1017/S002211201000282X,FALSE,TRUE,green
10.1063/1.1369125,FALSE,TRUE,green
10.1017/S0022112000001154,FALSE,TRUE,green
10.1029/RG010i002p00485,FALSE,FALSE,closed
10.1016/S0377-0265(01)00067-7,FALSE,FALSE,closed
10.1256/qj.03.179,FALSE,FALSE,closed
10.1007/s10546-012-9760-3,FALSE,FALSE,closed
10.1175/1520-0450(1965)004<0122:SBFWR>2.0.CO;2,FALSE,TRUE,hybrid
10.1017/S0022112067000515,FALSE,FALSE,closed
10.1002/qj.49709239403,FALSE,FALSE,closed
10.1256/qj.02.176,FALSE,FALSE,closed
10.1029/RG016i001p00047,FALSE,FALSE,closed
10.1175/1520-0469(1972)029<0850:OTIPIO>2.0.CO;2,FALSE,TRUE,bronze
10.1146/annurev.fluid.010908.165251,FALSE,FALSE,closed
10.1134/S001546281005011X,FALSE,FALSE,closed
10.5194/amt-5-2095-2012,TRUE,TRUE,gold
10.1007/BF00117295,FALSE,FALSE,closed
10.1007/s10546-010-9519-7,FALSE,FALSE,closed
10.1017/jfm.2012.7,FALSE,FALSE,closed
10.1051/0004-6361:20011773,FALSE,TRUE,bronze
10.1115/1.4007909,FALSE,FALSE,closed
10.1029/95RS00649,FALSE,FALSE,closed
10.1063/1.1706010,FALSE,FALSE,closed
10.1063/1.1706011,FALSE,FALSE,closed
10.1007/s00703-009-0349-4,FALSE,TRUE,green
10.1175/2007JTECHA969.1,FALSE,TRUE,green
10.1175/1520-0469(1990)047<2516:MTMAAS>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0469(1984)041<2269:SEOGWP>2.0.CO;2,FALSE,TRUE,hybrid
10.1029/JD091iD01p01219,FALSE,FALSE,closed
10.1007/BF00821547,FALSE,FALSE,closed
10.1175/1520-0469(1987)044<0533:ATBW>2.0.CO;2,FALSE,TRUE,hybrid
10.1017/S002211207400125X,FALSE,FALSE,closed
10.1016/S0377-0265(03)00028-9,FALSE,FALSE,closed
10.1023/A:1012730306799,FALSE,FALSE,closed
10.1029/1999JD900068,FALSE,TRUE,green
10.1175/1520-0469(1989)046<1462:LNWITL>2.0.CO;2,FALSE,TRUE,hybrid
10.1038/293046a0,FALSE,TRUE,green
10.1175/1520-0469(1978)035<0805:OSWITA>2.0.CO;2,FALSE,TRUE,hybrid
10.1017/S0022112008004278,FALSE,FALSE,closed
10.1017/S0022112005005318,FALSE,FALSE,closed
10.1017/S0022112096007082,FALSE,FALSE,closed
10.1063/1.3455432,FALSE,TRUE,green
10.1029/97RS00578,FALSE,FALSE,closed
10.5194/angeo-19-845-2001,TRUE,TRUE,gold
10.1175/2008MWR2518.1,FALSE,TRUE,hybrid
10.1002/qj.49708335505,FALSE,FALSE,closed
10.1007/BF00123179,FALSE,FALSE,closed
10.1007/s00703-003-0030-2,FALSE,FALSE,closed
10.1175/1520-0469(1974)031<1402:TGGW>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/MWR3329.1,FALSE,TRUE,hybrid
10.1023/A:1019974021434,FALSE,FALSE,closed
10.1175/1520-0469(1976)033<1287:RPSIIT>2.0.CO;2,FALSE,TRUE,hybrid
10.1007/BF00120898,FALSE,FALSE,closed
10.1175/1520-0450(1995)034<2747:TIOWAP>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/JAM2178.1,FALSE,TRUE,hybrid
10.1175/1520-0493(1999)127<0057:DWUAAO>2.0.CO;2,FALSE,TRUE,hybrid
10.1016/0012-821X(96)00129-X,FALSE,FALSE,closed
10.1126/science.204.4395.832,FALSE,FALSE,closed
10.1063/1.1530159,FALSE,TRUE,green
10.1023/A:1000270821161,FALSE,FALSE,closed
10.1175/1520-0469(1984)041<2559:AASGOW>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0469(1991)048<0087:ATGSWO>2.0.CO;2,FALSE,TRUE,hybrid
10.1256/qj.05.140,FALSE,FALSE,closed
10.1098/rspa.1977.0142,FALSE,FALSE,closed
10.1175/1520-0469(1995)052<4010:DBMWDT>2.0.CO;2,FALSE,TRUE,hybrid
10.1029/94RS01937,FALSE,FALSE,closed
10.1175/1520-0469(1993)050<0785:VROOGW>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0426(1988)005<0432:AUWPFT>2.0.CO;2,FALSE,TRUE,bronze
10.1256/smsqj.53902,FALSE,FALSE,closed
10.1175/1520-0469(1993)050<1841:WTDITS>2.0.CO;2,FALSE,TRUE,bronze
10.1007/BF00879972,FALSE,FALSE,closed
10.1175/1520-0469(1984)041<0661:GWTIIT>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0469(1989)046<0303:ACOGWA>2.0.CO;2,FALSE,TRUE,hybrid
10.1017/S0022112072000199,FALSE,TRUE,green
10.1007/978-90-481-9340-0,FALSE,FALSE,closed
10.1007/s00704-002-0693-5,FALSE,FALSE,closed
10.1127/0941-2948/2007/0224,FALSE,FALSE,closed
10.1175/1520-0493(1975)103<0217:AOTIGW>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/MWR3297.1,FALSE,TRUE,hybrid
10.1175/2008JAS2517.1,FALSE,TRUE,hybrid
10.1175/2007JPO3889.1,FALSE,TRUE,green
10.1175/2010BAMS2770.1,FALSE,TRUE,bronze
10.1063/1.1602076,FALSE,FALSE,closed
10.1016/0377-0265(95)00422-X,FALSE,FALSE,closed
10.1146/annurev.fluid.32.1.519,FALSE,FALSE,closed
10.1023/A:1001756912935,FALSE,FALSE,closed
10.1175/1520-0469(1984)041<2409:TIBAIG>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0469(1988)045<0486:KETBIG>2.0.CO;2,FALSE,TRUE,hybrid
10.2478/s11600-008-0034-x,FALSE,FALSE,closed
10.1017/S0022112009990589,FALSE,TRUE,green
10.1175/1087-3562(2002)006<0001:AOAMGW>2.0.CO;2,FALSE,TRUE,hybrid
10.1029/JD095iD10p16839,FALSE,FALSE,closed
10.1029/2011JD015895,FALSE,FALSE,closed
10.1175/1520-0469(2003)060<2487:TMWTCT>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/JAS-D-13-055.1,FALSE,TRUE,green
10.1029/2011JD017179,FALSE,FALSE,closed
10.1029/2010JD014618,FALSE,FALSE,closed
10.1029/2009GL039501,FALSE,FALSE,closed
10.1175/1520-0469(1979)036<0012:TEORWA>2.0.CO;2,FALSE,TRUE,bronze
10.1029/2002JD002406,FALSE,FALSE,closed
10.1175/1520-0469(1992)049<0681:GWEBGA>2.0.CO;2,FALSE,TRUE,hybrid
10.1029/2001GL013753,FALSE,TRUE,green
10.1175/1520-0469(1996)053<3173:EABOKB>2.0.CO;2,FALSE,TRUE,bronze
10.1029/RG022i003p00275,FALSE,FALSE,closed
10.1007/BF00874464,FALSE,FALSE,closed
10.1175/1520-0469(1976)033<2276:VSOGWC>2.0.CO;2,FALSE,TRUE,bronze
10.1016/j.advwatres.2012.04.008,FALSE,TRUE,green
10.1175/1520-0469(1984)041<0888:OTEODO>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0469(1982)039<2450:AAOWTI>2.0.CO;2,FALSE,TRUE,bronze
10.1002/qj.807,FALSE,FALSE,closed
10.1002/asl.153,FALSE,FALSE,closed
10.1175/1520-0493(1983)111<1293:SPAGWA>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0469(1975)032<2125:POTITV>2.0.CO;2,FALSE,FALSE,closed
10.1175/1520-0493(1994)122<1509:IOSSOP>2.0.CO;2,FALSE,TRUE,hybrid
10.1002/qj.836,FALSE,FALSE,closed
10.1016/S0924-7963(99)00024-X,FALSE,FALSE,closed
10.1098/rspa.1991.0086,FALSE,TRUE,green
10.1029/JC075i018p03523,FALSE,FALSE,closed
10.1007/s10546-012-9771-0,FALSE,TRUE,green
10.1029/JC084iC10p06362,FALSE,FALSE,closed
10.1175/1520-0450(1995)034<0941:WDEIAM>2.0.CO;2,FALSE,TRUE,hybrid
10.1002/qj.190,FALSE,FALSE,closed
10.1002/qj.529,FALSE,FALSE,closed
10.1175/1520-0469(1994)051<1237:DOWDIT>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0493(1999)127<1613:AYCOPD>2.0.CO;2,FALSE,TRUE,green
10.1175/2008JAS2885.1,FALSE,TRUE,green
10.1175/1520-0426(2001)018<0376:HRDLFB>2.0.CO;2,FALSE,TRUE,hybrid
10.1002/asl.382,FALSE,FALSE,closed
10.1017/S0022112073002454,FALSE,FALSE,closed
10.1002/qj.49709942007,FALSE,FALSE,closed
10.1175/2007JAS2561.1,FALSE,TRUE,green
10.1175/1520-0426(1996)013<1001:AGBNFA>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0469(1987)044<0828:OTEOVA>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0469(1990)047<2021:OTCAIT>2.0.CO;2,FALSE,TRUE,bronze
10.1017/S0022112067001752,FALSE,FALSE,closed
10.1146/annurev.fluid.38.050304.092129,FALSE,TRUE,green
10.1017/S0022112089001114,FALSE,FALSE,closed
10.1029/JB074i006p01321,FALSE,FALSE,closed
10.1175/1520-0469(1969)026<0266:TJSWFG>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/2008JAS2710.1,FALSE,TRUE,green
10.1175/1520-0469(1988)045<1269:GOTBAG>2.0.CO;2,FALSE,TRUE,bronze
10.1016/S1364-6826(96)00079-X,FALSE,FALSE,closed
10.1175/2007JAS2576.1,FALSE,TRUE,hybrid
10.1175/BAMS-D-11-00187.1,FALSE,TRUE,green
10.1175/1520-0450(1975)014<0031:FSOTAG>2.0.CO;2,FALSE,TRUE,bronze
10.1175/JAMC-D-14-0128.1,FALSE,TRUE,hybrid
10.1029/JC092iC05p05287,FALSE,FALSE,closed
10.1007/BF02265252,FALSE,FALSE,closed
10.1029/2010GL043017,FALSE,TRUE,green
10.1023/A:1013167228992,FALSE,FALSE,closed
10.1256/smsqj.46907,FALSE,FALSE,closed
10.1029/2002RS002753,FALSE,FALSE,closed
10.1080/14786442508634662,FALSE,FALSE,closed
10.1175/JAS3640.1,FALSE,TRUE,hybrid
10.1175/MWR-D-11-00056.1,FALSE,TRUE,green
10.1017/S0022112068002119,FALSE,FALSE,closed
10.1175/1520-0469(1971)028<0604:TCOMBI>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0469(1972)029<0445:AGWFWA>2.0.CO;2,FALSE,TRUE,hybrid
10.2151/jmsj.2013-201,FALSE,TRUE,bronze
10.1063/1.4706183,FALSE,TRUE,green
10.1256/smsqj.41706,FALSE,FALSE,closed
10.1175/1520-0426(2002)019<1139:AWITTA>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/JAS-D-13-0182.1,FALSE,TRUE,hybrid
10.1029/2008GL037146,FALSE,FALSE,closed
10.1017/jfm.2011.546,FALSE,TRUE,green
10.1175/1520-0469(1975)032<0320:TDOWID>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0469(1978)035<0078:NSOHMW>2.0.CO;2,FALSE,TRUE,bronze
10.1256/qj.03.161,FALSE,FALSE,closed
10.1080/03091929108229035,FALSE,FALSE,closed
10.1175/JAS3574.1,FALSE,TRUE,green
10.1175/2007MWR2252.1,FALSE,TRUE,green
10.1175/MWR-D-10-05081.1,FALSE,TRUE,green
10.1175/2009JAMC2059.1,FALSE,TRUE,hybrid
10.1017/S0022112005007524,FALSE,FALSE,closed
10.1256/smsqj.47602,FALSE,FALSE,closed
10.1175/1520-0469(1976)033<0059:TDEOTG>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0469(1976)033<1248:OTCOGW>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/2008JAMC1787.1,FALSE,TRUE,green
10.1175/2009MWR2878.1,FALSE,TRUE,green
10.1007/s10546-013-9825-y,FALSE,TRUE,green
10.1023/A:1000454030493,FALSE,FALSE,closed
10.1002/qj.49712454904,FALSE,FALSE,closed
10.1175/1520-0469(1997)054<2574:GWIAFA>2.0.CO;2,FALSE,TRUE,hybrid
10.1017/S0022112091003609,FALSE,FALSE,closed
10.1007/BF00119877,FALSE,FALSE,closed
10.1175/1520-0469(1974)031<0800:WATITS>2.0.CO;2,FALSE,TRUE,bronze
10.1146/annurev.fl.11.010179.001533,FALSE,FALSE,closed
10.1175/1520-0469(1988)045<0194:ASOAMS>2.0.CO;2,FALSE,TRUE,hybrid
10.1017/S0022112005008128,FALSE,FALSE,closed
10.1029/JC081i009p01561,FALSE,TRUE,green
10.1175/1520-0469(1983)040<0530:IIASFH>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0493(1976)104<1602:BCAADG>2.0.CO;2,FALSE,TRUE,hybrid
10.1017/jfm.2012.13,FALSE,TRUE,green
10.1111/J.2153-3490.1953.TB01035.X,FALSE,FALSE,closed
10.5194/acp-14-10931-2014,TRUE,TRUE,gold
10.1256/smsqj.53703,FALSE,FALSE,closed
10.1175/JAS4020.1,FALSE,TRUE,green
10.1007/BF00117978,FALSE,FALSE,closed
10.1016/j.atmosenv.2012.01.046,FALSE,FALSE,closed
10.1175/JTECH-D-12-00255.1,FALSE,TRUE,hybrid
10.1175/JPO-D-11-0108.1,FALSE,TRUE,green
10.1007/s10546-007-9244-z,FALSE,FALSE,closed
10.1007/s10546-005-9017-5,FALSE,FALSE,closed
10.1175/1520-0469(1989)046<0079:IOAT>2.0.CO;2,FALSE,TRUE,hybrid
10.1002/qj.1884,FALSE,FALSE,closed
10.1002/qj.694,FALSE,FALSE,closed
10.1016/j.agrformet.2010.01.015,FALSE,FALSE,closed
10.1002/qj.348,FALSE,FALSE,closed
10.1007/s10546-012-9782-x,FALSE,TRUE,hybrid
10.1175/2010JAMC2560.1,FALSE,TRUE,hybrid
10.1007/s10546-008-9336-4,FALSE,TRUE,hybrid
10.1175/2010JTECHA1389.1,FALSE,TRUE,hybrid
10.1127/0941-2948/2009/0370,FALSE,TRUE,green
10.1017/jfm.2012.294,FALSE,FALSE,closed
10.1175/1520-0469(1976)033<1730:GOGWBJ>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/2007jAS2294.1,FALSE,FALSE,closed
10.1175/JAS3856.1,FALSE,TRUE,hybrid
10.1109/36.45742,FALSE,FALSE,closed
10.1007/s10546-012-9709-6,FALSE,TRUE,hybrid
10.1007/s00703-010-0063-2,FALSE,FALSE,closed
10.1364/AO.43.003915,FALSE,TRUE,green
10.1175/1520-0450(2001)040<1331:TDVWFF>2.0.CO;2,FALSE,TRUE,green
10.1175/JTECH-D-11-00225.1,FALSE,TRUE,green
10.1029/JC082i009p01397,FALSE,FALSE,closed
10.1175/1520-0469(1987)044<1775:TEOOEG>2.0.CO;2,FALSE,TRUE,hybrid
10.5194/ADGEO-15-47-2008,TRUE,TRUE,gold
10.1017/S0022112081001626,FALSE,TRUE,green
10.1017/S0022112090002038,FALSE,FALSE,closed
10.1175/1520-0469(1982)039<1658:ANOVFI>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0426(1998)015<0849:AVIRWP>2.0.CO;2,FALSE,TRUE,green
10.1175/2007JAS2359.1,FALSE,TRUE,hybrid
10.1175/JAS-D-11-070.1,FALSE,TRUE,green
10.1029/RG020i004p00851,FALSE,TRUE,green
10.1029/JC084iC10p06315,FALSE,FALSE,closed
10.1017/S0022112076002735,FALSE,FALSE,closed
10.1017/S0022112064001252,FALSE,FALSE,closed
10.1175/1520-0469(1996)053<1724:UODTIA>2.0.CO;2,FALSE,TRUE,green
10.1175/JAS-3289.1,FALSE,TRUE,hybrid
10.1029/RG024i003p00493,FALSE,FALSE,closed
10.1127/0941-2948/2005/0067,FALSE,FALSE,closed
10.1175/BAMS-D-12-00235.1,FALSE,TRUE,hybrid
10.1016/j.atmosenv.2004.02.019,FALSE,FALSE,closed
10.1175/1520-0469(1992)049<1075:WEBTGS>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0450(1990)029<0783:SOGWAS>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0469(1992)049<0101:SOMVOG>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0450(1993)032<0081:TCOGWA>2.0.CO;2,FALSE,TRUE,green
10.1007/978-3-642-15942-8,FALSE,FALSE,closed
10.1175/1520-0469(2003)060<0016:SFIITS>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/2010MWR3292.1,FALSE,TRUE,green
10.1175/1520-0485(1996)026<0398:ESOTIW>2.0.CO;2,FALSE,TRUE,hybrid
10.1007/BF02265225,FALSE,FALSE,closed
10.5194/npg-8-313-2001,TRUE,TRUE,gold
10.1007/978-94-007-0360-5_5,FALSE,TRUE,green
10.1002/qj.49711247406,FALSE,FALSE,closed
10.1175/2010BAMS2614.1,FALSE,TRUE,green
10.1029/2002GL015783,FALSE,FALSE,closed
10.1175/2008JTECHA1128.1,FALSE,TRUE,green
10.1007/s10546-011-9652-y,FALSE,FALSE,closed
10.1175/2008JTECHA988.1,FALSE,TRUE,hybrid
10.1002/2012RG000419,FALSE,TRUE,green
10.1175/1520-0450(1991)030<0145:NVW>2.0.CO;2,FALSE,TRUE,hybrid
10.1017/S0022112003004051,FALSE,TRUE,green
10.1103/PhysRevLett.111.234501,FALSE,TRUE,green
10.1002/qj.272,FALSE,FALSE,closed
10.1256/qj.04.116,FALSE,TRUE,green
10.1023/A:1019246513260,FALSE,FALSE,closed
10.1175/2008JCLI2006.1,FALSE,TRUE,green
10.1175/1520-0469(1997)054<1308:OSAAON>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0469(1999)056<2986:DTGWCB>2.0.CO;2,FALSE,TRUE,hybrid
10.1175/1520-0469(1993)050<3277:OOAMDG>2.0.CO;2,FALSE,TRUE,bronze
10.1023/B:BOUN.0000010998.10262.e2,FALSE,FALSE,closed
10.1007/BF00120941,FALSE,FALSE,closed
10.1175/1520-0469(2000)057<0511:ACSOIG>2.0.CO;2,FALSE,TRUE,green
10.1023/A:1000555504268,FALSE,FALSE,closed
10.1007/BF00708859,FALSE,FALSE,closed
10.1016/S0377-0265(01)00070-7,FALSE,FALSE,closed
10.1016/j.dynatmoce.2003.09.001,FALSE,FALSE,closed
10.1175/JTECH-D-12-00176.1,FALSE,TRUE,green
10.1256/qj.03.24,FALSE,TRUE,green
10.2478/s11600-012-0042-8,FALSE,FALSE,closed
10.1175/2007JAS2455.1,FALSE,TRUE,hybrid
10.1146/annurev.fluid.32.1.613,FALSE,FALSE,closed
10.1002/qj.2441,FALSE,TRUE,green
10.1103/PhysRevE.89.043002,FALSE,TRUE,green
10.1175/1520-0469(1983)040<0521:IIASFH>2.0.CO;2,FALSE,TRUE,bronze
10.1175/1520-0469(1983)040<0509:IIASFH>2.0.CO;2,FALSE,TRUE,hybrid
10.1007/BF01330059,FALSE,FALSE,closed
